Designator,Mid X,Mid Y,Rotation,Layer
C1,110.0,-37.21539,180.0,top
C10,119.0,-52.803847,0.0,top
C11,122.0,-58.0,180.0,top
C12,116.0,-58.0,180.0,top
C13,110.0,-58.0,180.0,top
C14,104.0,-58.0,180.0,top
C15,98.0,-58.0,180.0,top
C16,95.5,-63.196152,0.0,top
C17,101.0,-63.196152,0.0,top
C18,107.0,-63.196152,0.0,top
C19,113.0,-63.196152,0.0,top
C2,107.5,-42.6,0.0,top
C20,119.0,-63.196152,0.0,top
C21,125.0,-63.196152,0.0,top
C22,127.5,-68.2,180.0,top
C23,122.0,-68.392304,180.0,top
C24,116.0,-68.392304,180.0,top
C25,110.0,-68.392304,180.0,top
C26,104.0,-68.392304,180.0,top
C27,98.0,-68.392304,180.0,top
C28,92.0,-68.392304,180.0,top
C29,107.0,-51.0,180.0,top
C3,113.0,-42.411542,0.0,top
C30,104.0,-66.7,0.0,top
C31,119.0,-61.6,180.0,top
C4,116.0,-47.607695,180.0,top
C5,110.0,-47.607695,180.0,top
C6,104.0,-47.607695,180.0,top
C7,101.0,-52.803847,0.0,top
C8,107.0,-52.803847,0.0,top
C9,113.0,-52.803847,0.0,top
D1,110.0,-39.21539,0.0,top
D10,119.0,-54.803847,180.0,top
D11,122.0,-60.0,0.0,top
D12,116.0,-60.0,0.0,top
D13,110.0,-60.0,0.0,top
D14,104.0,-60.0,0.0,top
D15,98.0,-60.0,0.0,top
D16,95.0,-65.196152,180.0,top
D17,101.0,-65.196152,180.0,top
D18,107.0,-65.196152,180.0,top
D19,113.0,-65.196152,180.0,top
D2,107.0,-44.411542,180.0,top
D20,119.0,-65.196152,180.0,top
D21,125.0,-65.196152,180.0,top
D22,128.0,-70.392304,0.0,top
D23,122.0,-70.392304,0.0,top
D24,116.0,-70.392304,0.0,top
D25,110.0,-70.392304,0.0,top
D26,104.0,-70.392304,0.0,top
D27,98.0,-70.392304,0.0,top
D28,92.0,-70.392304,0.0,top
D3,113.0,-44.411542,180.0,top
D4,116.0,-49.607695,0.0,top
D5,110.0,-49.607695,0.0,top
D6,104.0,-49.607695,0.0,top
D7,101.0,-54.803847,180.0,top
D8,107.0,-54.803847,180.0,top
D9,113.0,-54.803847,180.0,top
H1,116.0,-53.071796,0.0,top
H10,104.0,-63.464101,0.0,top
H11,107.0,-68.660254,180.0,top
H12,113.0,-68.660254,180.0,top
H13,125.0,-68.660254,180.0,top
H2,110.0,-53.071796,0.0,top
H3,104.0,-53.071796,0.0,top
H4,101.0,-58.267949,180.0,top
H5,107.0,-58.267949,180.0,top
H6,113.0,-58.267949,180.0,top
H7,119.0,-58.267949,180.0,top
H8,116.0,-63.464101,0.0,top
H9,110.0,-63.464101,0.0,top
J1,110.0,-42.679491,0.0,top
J2,107.0,-47.875644,180.0,top
J3,113.0,-47.875644,180.0,top
J4,122.0,-63.464101,0.0,top
J5,98.0,-63.464101,0.0,top
J6,95.0,-68.660254,30.0,top
J7,101.0,-68.660254,180.0,top
J8,119.0,-68.660254,180.0,top
R1,112.1,-40.7,90.0,top
